epoch,accuracy,loss,val_accuracy,val_loss
0,0.8023393,0.5180870248617104,0.80357885,0.43493016686898367
1,0.80727106,0.4271285072391906,0.80756724,0.420871630640859
2,0.8092192,0.41966345097722774,0.80788934,0.42292153866566917
3,0.80990183,0.4174826135974041,0.8098682,0.41202449675422936
4,0.8101089,0.4156460640917418,0.80792004,0.4248424924333008
5,0.8104541,0.41399464392555985,0.8094617,0.41284876123552344
6,0.8116659,0.41328088630743415,0.8114636,0.4113022518285235
7,0.8116506,0.41285368895344177,0.8109267,0.41023753890305237
8,0.8112517,0.4123330519780514,0.8103668,0.41141055745184196
9,0.8117963,0.41277052687709914,0.81055856,0.4111010075378035
10,0.8112747,0.41260568089308886,0.81039745,0.4115420248938959
